[2026-04-14T06:20:04.618Z] GET http://localhost:8080/intranet.html → 200 (5ms, 329445B)
[2026-04-14T06:20:05.443Z] GET https://fonts.gstatic.com/s/zcoolkuaile/v22/tssqApdaRQokwFjFJjvM6h2Wo4z1oXkYxd0yTHEClH7DwjDMeAhAgE_3sefnUmd6tMyz-no9BA.115.woff2 → pending (?ms, ?B)
[2026-04-14T06:20:05.444Z] GET https://fonts.gstatic.com/s/zcoolkuaile/v22/tssqApdaRQokwFjFJjvM6h2Wo4z1oXkYxd0yTHEClH7DwjDMeAhAgE_3sefnUmd6tMyz-no9BA.114.woff2 → pending (?ms, ?B)
[2026-04-14T06:20:05.445Z] GET https://fonts.gstatic.com/s/zcoolkuaile/v22/tssqApdaRQokwFjFJjvM6h2Wo4z1oXkYxd0yTHEClH7DwjDMeAhAgE_3sefnUmd6tMyz-no9BA.112.woff2 → pending (?ms, ?B)
[2026-04-14T06:20:05.445Z] GET https://fonts.gstatic.com/s/zcoolkuaile/v22/tssqApdaRQokwFjFJjvM6h2Wo4z1oXkYxd0yTHEClH7DwjDMeAhAgE_3sefnUmd6tMyz-no9BA.110.woff2 → pending (?ms, ?B)
[2026-04-14T06:20:05.445Z] GET https://fonts.gstatic.com/s/zcoolkuaile/v22/tssqApdaRQokwFjFJjvM6h2Wo4z1oXkYxd0yTHEClH7DwjDMeAhAgE_3sefnUmd6tMyz-no9BA.111.woff2 → pending (?ms, ?B)
[2026-04-14T06:20:05.445Z] GET https://fonts.gstatic.com/s/zcoolkuaile/v22/tssqApdaRQokwFjFJjvM6h2Wo4z1oXkYxd0yTHEClH7DwjDMeAhAgE_3sefnUmd6tMyz-no9BA.108.woff2 → pending (?ms, ?B)
[2026-04-14T06:20:05.446Z] GET https://fonts.gstatic.com/s/zcoolkuaile/v22/tssqApdaRQokwFjFJjvM6h2Wo4z1oXkYxd0yTHEClH7DwjDMeAhAgE_3sefnUmd6tMyz-no9BA.44.woff2 → pending (?ms, ?B)
[2026-04-14T06:22:14.357Z] GET http://localhost:8080/intranet.html → 200 (2ms, 329925B)
[2026-04-14T06:22:14.364Z] GET https://fonts.googleapis.com/css2?family=ZCOOL+KuaiLe&display=swap → 200 (1ms, 108503B)
[2026-04-14T06:22:14.365Z] GET http://localhost:8080/images/yunque-logo.png → 200 (?ms, 16633034B)
[2026-04-14T06:22:14.365Z] GET http://localhost:8080/images/map.png → 200 (2ms, 2457090B)
[2026-04-14T06:22:14.521Z] GET https://fonts.gstatic.com/s/zcoolkuaile/v22/tssqApdaRQokwFjFJjvM6h2Wo4z1oXkYxd0yTHEClH7DwjDMeAhAgE_3sefnUmd6tMyz-no9BA.43.woff2 → 200 (?ms, ?B)
[2026-04-14T06:22:14.521Z] GET https://fonts.gstatic.com/s/zcoolkuaile/v22/tssqApdaRQokwFjFJjvM6h2Wo4z1oXkYxd0yTHEClH7DwjDMeAhAgE_3sefnUmd6tMyz-no9BA.44.woff2 → 200 (?ms, ?B)
[2026-04-14T06:22:14.522Z] GET https://fonts.gstatic.com/s/zcoolkuaile/v22/tssqApdaRQokwFjFJjvM6h2Wo4z1oXkYxd0yTHEClH7DwjDMeAhAgE_3sefnUmd6tMyz-no9BA.107.woff2 → 200 (?ms, ?B)
[2026-04-14T06:22:14.522Z] GET https://fonts.gstatic.com/s/zcoolkuaile/v22/tssqApdaRQokwFjFJjvM6h2Wo4z1oXkYxd0yTHEClH7DwjDMeAhAgE_3sefnUmd6tMyz-no9BA.108.woff2 → 200 (?ms, ?B)
[2026-04-14T06:22:14.522Z] GET https://fonts.gstatic.com/s/zcoolkuaile/v22/tssqApdaRQokwFjFJjvM6h2Wo4z1oXkYxd0yTHEClH7DwjDMeAhAgE_3sefnUmd6tMyz-no9BA.110.woff2 → 200 (?ms, ?B)
[2026-04-14T06:22:14.523Z] GET https://fonts.gstatic.com/s/zcoolkuaile/v22/tssqApdaRQokwFjFJjvM6h2Wo4z1oXkYxd0yTHEClH7DwjDMeAhAgE_3sefnUmd6tMyz-no9BA.111.woff2 → 200 (?ms, ?B)
[2026-04-14T06:22:14.523Z] GET https://fonts.gstatic.com/s/zcoolkuaile/v22/tssqApdaRQokwFjFJjvM6h2Wo4z1oXkYxd0yTHEClH7DwjDMeAhAgE_3sefnUmd6tMyz-no9BA.112.woff2 → 200 (?ms, ?B)
[2026-04-14T06:22:14.524Z] GET https://fonts.gstatic.com/s/zcoolkuaile/v22/tssqApdaRQokwFjFJjvM6h2Wo4z1oXkYxd0yTHEClH7DwjDMeAhAgE_3sefnUmd6tMyz-no9BA.113.woff2 → 200 (1ms, ?B)
[2026-04-14T06:22:14.525Z] GET https://fonts.gstatic.com/s/zcoolkuaile/v22/tssqApdaRQokwFjFJjvM6h2Wo4z1oXkYxd0yTHEClH7DwjDMeAhAgE_3sefnUmd6tMyz-no9BA.114.woff2 → 200 (?ms, ?B)
[2026-04-14T06:22:14.525Z] GET https://fonts.gstatic.com/s/zcoolkuaile/v22/tssqApdaRQokwFjFJjvM6h2Wo4z1oXkYxd0yTHEClH7DwjDMeAhAgE_3sefnUmd6tMyz-no9BA.115.woff2 → 200 (1ms, ?B)
[2026-04-14T06:22:14.526Z] GET https://fonts.gstatic.com/s/zcoolkuaile/v22/tssqApdaRQokwFjFJjvM6h2Wo4z1oXkYxd0yTHEClH7DwjDMeAhAgE_3sefnUmd6tMyz-no9BA.116.woff2 → 200 (?ms, ?B)
[2026-04-14T06:22:14.527Z] GET https://fonts.gstatic.com/s/zcoolkuaile/v22/tssqApdaRQokwFjFJjvM6h2Wo4z1oXkYxd0yTHEClH7DwjDMeAhAgE_3sefnUmd6tMyz-no9BA.117.woff2 → 200 (?ms, ?B)
[2026-04-14T06:22:14.528Z] GET https://fonts.gstatic.com/s/zcoolkuaile/v22/tssqApdaRQokwFjFJjvM6h2Wo4z1oXkYxd0yTHEClH7DwjDMeAhAgE_3sefnUmd6tMyz-no9BA.118.woff2 → 200 (?ms, ?B)
[2026-04-14T06:22:14.528Z] GET https://fonts.gstatic.com/s/zcoolkuaile/v22/tssqApdaRQokwFjFJjvM6h2Wo4z1oXkYxd0yTHEClH7DwjDMeAhAgE_3sefnUmd6tMyz-no9BA.119.woff2 → 200 (?ms, ?B)
[2026-04-14T06:22:14.528Z] GET https://fonts.gstatic.com/s/zcoolkuaile/v22/tssqApdaRQokwFjFJjvM6h2moYbyg3tS2w.woff2 → 200 (?ms, ?B)
[2026-04-14T06:22:24.430Z] GET https://fonts.gstatic.com/s/zcoolkuaile/v22/tssqApdaRQokwFjFJjvM6h2Wo4z1oXkYxd0yTHEClH7DwjDMeAhAgE_3sefnUmd6tMyz-no9BA.103.woff2 → 200 (333ms, 23904B)
[2026-04-14T06:22:24.430Z] GET https://fonts.gstatic.com/s/zcoolkuaile/v22/tssqApdaRQokwFjFJjvM6h2Wo4z1oXkYxd0yTHEClH7DwjDMeAhAgE_3sefnUmd6tMyz-no9BA.80.woff2 → 200 (335ms, 8156B)
[2026-04-14T06:22:24.430Z] GET https://fonts.gstatic.com/s/zcoolkuaile/v22/tssqApdaRQokwFjFJjvM6h2Wo4z1oXkYxd0yTHEClH7DwjDMeAhAgE_3sefnUmd6tMyz-no9BA.102.woff2 → 200 (350ms, 23160B)
[2026-04-14T06:52:36.429Z] GET http://localhost:8080/intranet.html → 200 (3ms, 328667B)
[2026-04-14T06:52:36.442Z] GET https://fonts.googleapis.com/css2?family=ZCOOL+KuaiLe&display=swap → 200 (?ms, 108503B)
[2026-04-14T06:52:36.442Z] GET http://localhost:8080/images/yunque-logo.png → 200 (?ms, 16633034B)
[2026-04-14T06:52:36.443Z] GET http://localhost:8080/images/map.png → 200 (?ms, 2457090B)
[2026-04-14T06:52:36.464Z] GET https://fonts.gstatic.com/s/zcoolkuaile/v22/tssqApdaRQokwFjFJjvM6h2Wo4z1oXkYxd0yTHEClH7DwjDMeAhAgE_3sefnUmd6tMyz-no9BA.43.woff2 → 200 (1ms, ?B)
[2026-04-14T06:52:36.465Z] GET https://fonts.gstatic.com/s/zcoolkuaile/v22/tssqApdaRQokwFjFJjvM6h2Wo4z1oXkYxd0yTHEClH7DwjDMeAhAgE_3sefnUmd6tMyz-no9BA.44.woff2 → 200 (?ms, ?B)
[2026-04-14T06:52:36.466Z] GET https://fonts.gstatic.com/s/zcoolkuaile/v22/tssqApdaRQokwFjFJjvM6h2Wo4z1oXkYxd0yTHEClH7DwjDMeAhAgE_3sefnUmd6tMyz-no9BA.80.woff2 → 200 (1ms, ?B)
[2026-04-14T06:52:36.468Z] GET https://fonts.gstatic.com/s/zcoolkuaile/v22/tssqApdaRQokwFjFJjvM6h2Wo4z1oXkYxd0yTHEClH7DwjDMeAhAgE_3sefnUmd6tMyz-no9BA.102.woff2 → 200 (?ms, ?B)
[2026-04-14T06:52:36.497Z] GET https://fonts.gstatic.com/s/zcoolkuaile/v22/tssqApdaRQokwFjFJjvM6h2Wo4z1oXkYxd0yTHEClH7DwjDMeAhAgE_3sefnUmd6tMyz-no9BA.103.woff2 → 200 (1ms, ?B)
[2026-04-14T06:52:36.498Z] GET https://fonts.gstatic.com/s/zcoolkuaile/v22/tssqApdaRQokwFjFJjvM6h2Wo4z1oXkYxd0yTHEClH7DwjDMeAhAgE_3sefnUmd6tMyz-no9BA.107.woff2 → 200 (?ms, ?B)
[2026-04-14T06:52:36.505Z] GET https://fonts.gstatic.com/s/zcoolkuaile/v22/tssqApdaRQokwFjFJjvM6h2Wo4z1oXkYxd0yTHEClH7DwjDMeAhAgE_3sefnUmd6tMyz-no9BA.108.woff2 → 200 (?ms, ?B)
[2026-04-14T06:52:36.505Z] GET https://fonts.gstatic.com/s/zcoolkuaile/v22/tssqApdaRQokwFjFJjvM6h2Wo4z1oXkYxd0yTHEClH7DwjDMeAhAgE_3sefnUmd6tMyz-no9BA.110.woff2 → 200 (4ms, ?B)
[2026-04-14T06:52:36.510Z] GET https://fonts.gstatic.com/s/zcoolkuaile/v22/tssqApdaRQokwFjFJjvM6h2Wo4z1oXkYxd0yTHEClH7DwjDMeAhAgE_3sefnUmd6tMyz-no9BA.111.woff2 → 200 (?ms, ?B)
[2026-04-14T06:52:36.510Z] GET https://fonts.gstatic.com/s/zcoolkuaile/v22/tssqApdaRQokwFjFJjvM6h2Wo4z1oXkYxd0yTHEClH7DwjDMeAhAgE_3sefnUmd6tMyz-no9BA.112.woff2 → 200 (1ms, ?B)
[2026-04-14T06:52:36.511Z] GET https://fonts.gstatic.com/s/zcoolkuaile/v22/tssqApdaRQokwFjFJjvM6h2Wo4z1oXkYxd0yTHEClH7DwjDMeAhAgE_3sefnUmd6tMyz-no9BA.113.woff2 → 200 (?ms, ?B)
[2026-04-14T06:52:36.511Z] GET https://fonts.gstatic.com/s/zcoolkuaile/v22/tssqApdaRQokwFjFJjvM6h2Wo4z1oXkYxd0yTHEClH7DwjDMeAhAgE_3sefnUmd6tMyz-no9BA.114.woff2 → 200 (2ms, ?B)
[2026-04-14T06:52:36.513Z] GET https://fonts.gstatic.com/s/zcoolkuaile/v22/tssqApdaRQokwFjFJjvM6h2Wo4z1oXkYxd0yTHEClH7DwjDMeAhAgE_3sefnUmd6tMyz-no9BA.115.woff2 → 200 (?ms, ?B)
[2026-04-14T06:52:36.513Z] GET https://fonts.gstatic.com/s/zcoolkuaile/v22/tssqApdaRQokwFjFJjvM6h2Wo4z1oXkYxd0yTHEClH7DwjDMeAhAgE_3sefnUmd6tMyz-no9BA.116.woff2 → 200 (1ms, ?B)
[2026-04-14T06:52:36.514Z] GET https://fonts.gstatic.com/s/zcoolkuaile/v22/tssqApdaRQokwFjFJjvM6h2Wo4z1oXkYxd0yTHEClH7DwjDMeAhAgE_3sefnUmd6tMyz-no9BA.117.woff2 → 200 (?ms, ?B)
[2026-04-14T06:52:36.514Z] GET https://fonts.gstatic.com/s/zcoolkuaile/v22/tssqApdaRQokwFjFJjvM6h2Wo4z1oXkYxd0yTHEClH7DwjDMeAhAgE_3sefnUmd6tMyz-no9BA.118.woff2 → 200 (?ms, ?B)
[2026-04-14T06:52:36.514Z] GET https://fonts.gstatic.com/s/zcoolkuaile/v22/tssqApdaRQokwFjFJjvM6h2Wo4z1oXkYxd0yTHEClH7DwjDMeAhAgE_3sefnUmd6tMyz-no9BA.119.woff2 → 200 (?ms, ?B)
[2026-04-14T06:52:36.514Z] GET https://fonts.gstatic.com/s/zcoolkuaile/v22/tssqApdaRQokwFjFJjvM6h2moYbyg3tS2w.woff2 → 200 (?ms, ?B)
[2026-04-14T06:52:36.883Z] GET http://localhost:8080/intranet.html → 200 (2ms, 328667B)
[2026-04-14T06:52:36.890Z] GET https://fonts.googleapis.com/css2?family=ZCOOL+KuaiLe&display=swap → 200 (?ms, 108503B)
[2026-04-14T06:52:36.890Z] GET http://localhost:8080/images/yunque-logo.png → 200 (?ms, 16633034B)
[2026-04-14T06:52:36.891Z] GET http://localhost:8080/images/map.png → 200 (?ms, 2457090B)
[2026-04-14T06:52:36.898Z] GET https://fonts.gstatic.com/s/zcoolkuaile/v22/tssqApdaRQokwFjFJjvM6h2Wo4z1oXkYxd0yTHEClH7DwjDMeAhAgE_3sefnUmd6tMyz-no9BA.43.woff2 → 200 (?ms, ?B)
[2026-04-14T06:52:36.898Z] GET https://fonts.gstatic.com/s/zcoolkuaile/v22/tssqApdaRQokwFjFJjvM6h2Wo4z1oXkYxd0yTHEClH7DwjDMeAhAgE_3sefnUmd6tMyz-no9BA.44.woff2 → 200 (?ms, ?B)
[2026-04-14T06:52:36.898Z] GET https://fonts.gstatic.com/s/zcoolkuaile/v22/tssqApdaRQokwFjFJjvM6h2Wo4z1oXkYxd0yTHEClH7DwjDMeAhAgE_3sefnUmd6tMyz-no9BA.80.woff2 → 200 (1ms, ?B)
[2026-04-14T06:52:36.899Z] GET https://fonts.gstatic.com/s/zcoolkuaile/v22/tssqApdaRQokwFjFJjvM6h2Wo4z1oXkYxd0yTHEClH7DwjDMeAhAgE_3sefnUmd6tMyz-no9BA.102.woff2 → 200 (?ms, ?B)
[2026-04-14T06:52:36.899Z] GET https://fonts.gstatic.com/s/zcoolkuaile/v22/tssqApdaRQokwFjFJjvM6h2Wo4z1oXkYxd0yTHEClH7DwjDMeAhAgE_3sefnUmd6tMyz-no9BA.103.woff2 → 200 (?ms, ?B)
[2026-04-14T06:52:36.899Z] GET https://fonts.gstatic.com/s/zcoolkuaile/v22/tssqApdaRQokwFjFJjvM6h2Wo4z1oXkYxd0yTHEClH7DwjDMeAhAgE_3sefnUmd6tMyz-no9BA.107.woff2 → 200 (4ms, ?B)
[2026-04-14T06:52:36.903Z] GET https://fonts.gstatic.com/s/zcoolkuaile/v22/tssqApdaRQokwFjFJjvM6h2Wo4z1oXkYxd0yTHEClH7DwjDMeAhAgE_3sefnUmd6tMyz-no9BA.108.woff2 → 200 (?ms, ?B)
[2026-04-14T06:52:36.904Z] GET https://fonts.gstatic.com/s/zcoolkuaile/v22/tssqApdaRQokwFjFJjvM6h2Wo4z1oXkYxd0yTHEClH7DwjDMeAhAgE_3sefnUmd6tMyz-no9BA.110.woff2 → 200 (?ms, ?B)
[2026-04-14T06:52:36.904Z] GET https://fonts.gstatic.com/s/zcoolkuaile/v22/tssqApdaRQokwFjFJjvM6h2Wo4z1oXkYxd0yTHEClH7DwjDMeAhAgE_3sefnUmd6tMyz-no9BA.111.woff2 → 200 (?ms, ?B)
[2026-04-14T06:52:36.905Z] GET https://fonts.gstatic.com/s/zcoolkuaile/v22/tssqApdaRQokwFjFJjvM6h2Wo4z1oXkYxd0yTHEClH7DwjDMeAhAgE_3sefnUmd6tMyz-no9BA.112.woff2 → 200 (?ms, ?B)
[2026-04-14T06:52:36.905Z] GET https://fonts.gstatic.com/s/zcoolkuaile/v22/tssqApdaRQokwFjFJjvM6h2Wo4z1oXkYxd0yTHEClH7DwjDMeAhAgE_3sefnUmd6tMyz-no9BA.113.woff2 → 200 (?ms, ?B)
[2026-04-14T06:52:36.906Z] GET https://fonts.gstatic.com/s/zcoolkuaile/v22/tssqApdaRQokwFjFJjvM6h2Wo4z1oXkYxd0yTHEClH7DwjDMeAhAgE_3sefnUmd6tMyz-no9BA.114.woff2 → 200 (?ms, ?B)
[2026-04-14T06:52:36.906Z] GET https://fonts.gstatic.com/s/zcoolkuaile/v22/tssqApdaRQokwFjFJjvM6h2Wo4z1oXkYxd0yTHEClH7DwjDMeAhAgE_3sefnUmd6tMyz-no9BA.115.woff2 → 200 (?ms, ?B)
[2026-04-14T06:52:36.906Z] GET https://fonts.gstatic.com/s/zcoolkuaile/v22/tssqApdaRQokwFjFJjvM6h2Wo4z1oXkYxd0yTHEClH7DwjDMeAhAgE_3sefnUmd6tMyz-no9BA.116.woff2 → 200 (?ms, ?B)
[2026-04-14T06:52:36.906Z] GET https://fonts.gstatic.com/s/zcoolkuaile/v22/tssqApdaRQokwFjFJjvM6h2Wo4z1oXkYxd0yTHEClH7DwjDMeAhAgE_3sefnUmd6tMyz-no9BA.117.woff2 → 200 (1ms, ?B)
[2026-04-14T06:52:36.907Z] GET https://fonts.gstatic.com/s/zcoolkuaile/v22/tssqApdaRQokwFjFJjvM6h2Wo4z1oXkYxd0yTHEClH7DwjDMeAhAgE_3sefnUmd6tMyz-no9BA.118.woff2 → 200 (?ms, ?B)
[2026-04-14T06:52:36.907Z] GET https://fonts.gstatic.com/s/zcoolkuaile/v22/tssqApdaRQokwFjFJjvM6h2Wo4z1oXkYxd0yTHEClH7DwjDMeAhAgE_3sefnUmd6tMyz-no9BA.119.woff2 → 200 (?ms, ?B)
[2026-04-14T06:52:36.907Z] GET https://fonts.gstatic.com/s/zcoolkuaile/v22/tssqApdaRQokwFjFJjvM6h2moYbyg3tS2w.woff2 → 200 (?ms, ?B)
[2026-04-14T06:52:48.224Z] GET http://localhost:8080/intranet.html → 200 (2ms, ?B)
[2026-04-14T06:52:48.231Z] GET https://fonts.googleapis.com/css2?family=ZCOOL+KuaiLe&display=swap → 200 (?ms, 108503B)
[2026-04-14T06:52:48.231Z] GET http://localhost:8080/images/yunque-logo.png → 200 (?ms, ?B)
[2026-04-14T06:52:48.232Z] GET http://localhost:8080/images/map.png → 200 (?ms, ?B)
[2026-04-14T06:52:48.240Z] GET https://fonts.gstatic.com/s/zcoolkuaile/v22/tssqApdaRQokwFjFJjvM6h2Wo4z1oXkYxd0yTHEClH7DwjDMeAhAgE_3sefnUmd6tMyz-no9BA.43.woff2 → 200 (?ms, ?B)
[2026-04-14T06:52:48.240Z] GET https://fonts.gstatic.com/s/zcoolkuaile/v22/tssqApdaRQokwFjFJjvM6h2Wo4z1oXkYxd0yTHEClH7DwjDMeAhAgE_3sefnUmd6tMyz-no9BA.44.woff2 → 200 (?ms, ?B)
[2026-04-14T06:52:48.241Z] GET https://fonts.gstatic.com/s/zcoolkuaile/v22/tssqApdaRQokwFjFJjvM6h2Wo4z1oXkYxd0yTHEClH7DwjDMeAhAgE_3sefnUmd6tMyz-no9BA.80.woff2 → 200 (?ms, ?B)
[2026-04-14T06:52:48.241Z] GET https://fonts.gstatic.com/s/zcoolkuaile/v22/tssqApdaRQokwFjFJjvM6h2Wo4z1oXkYxd0yTHEClH7DwjDMeAhAgE_3sefnUmd6tMyz-no9BA.102.woff2 → 200 (?ms, ?B)
[2026-04-14T06:52:48.245Z] GET https://fonts.gstatic.com/s/zcoolkuaile/v22/tssqApdaRQokwFjFJjvM6h2Wo4z1oXkYxd0yTHEClH7DwjDMeAhAgE_3sefnUmd6tMyz-no9BA.103.woff2 → 200 (?ms, ?B)
[2026-04-14T06:52:48.245Z] GET https://fonts.gstatic.com/s/zcoolkuaile/v22/tssqApdaRQokwFjFJjvM6h2Wo4z1oXkYxd0yTHEClH7DwjDMeAhAgE_3sefnUmd6tMyz-no9BA.107.woff2 → 200 (?ms, ?B)
[2026-04-14T06:52:48.246Z] GET https://fonts.gstatic.com/s/zcoolkuaile/v22/tssqApdaRQokwFjFJjvM6h2Wo4z1oXkYxd0yTHEClH7DwjDMeAhAgE_3sefnUmd6tMyz-no9BA.108.woff2 → 200 (?ms, ?B)
[2026-04-14T06:52:48.246Z] GET https://fonts.gstatic.com/s/zcoolkuaile/v22/tssqApdaRQokwFjFJjvM6h2Wo4z1oXkYxd0yTHEClH7DwjDMeAhAgE_3sefnUmd6tMyz-no9BA.110.woff2 → 200 (?ms, ?B)
[2026-04-14T06:52:48.247Z] GET https://fonts.gstatic.com/s/zcoolkuaile/v22/tssqApdaRQokwFjFJjvM6h2Wo4z1oXkYxd0yTHEClH7DwjDMeAhAgE_3sefnUmd6tMyz-no9BA.111.woff2 → 200 (?ms, ?B)
[2026-04-14T06:52:48.247Z] GET https://fonts.gstatic.com/s/zcoolkuaile/v22/tssqApdaRQokwFjFJjvM6h2Wo4z1oXkYxd0yTHEClH7DwjDMeAhAgE_3sefnUmd6tMyz-no9BA.112.woff2 → 200 (1ms, ?B)
[2026-04-14T06:52:48.248Z] GET https://fonts.gstatic.com/s/zcoolkuaile/v22/tssqApdaRQokwFjFJjvM6h2Wo4z1oXkYxd0yTHEClH7DwjDMeAhAgE_3sefnUmd6tMyz-no9BA.113.woff2 → 200 (?ms, ?B)
[2026-04-14T06:52:48.248Z] GET https://fonts.gstatic.com/s/zcoolkuaile/v22/tssqApdaRQokwFjFJjvM6h2Wo4z1oXkYxd0yTHEClH7DwjDMeAhAgE_3sefnUmd6tMyz-no9BA.114.woff2 → 200 (?ms, ?B)
[2026-04-14T06:52:48.248Z] GET https://fonts.gstatic.com/s/zcoolkuaile/v22/tssqApdaRQokwFjFJjvM6h2Wo4z1oXkYxd0yTHEClH7DwjDMeAhAgE_3sefnUmd6tMyz-no9BA.115.woff2 → 200 (?ms, ?B)
[2026-04-14T06:52:48.248Z] GET https://fonts.gstatic.com/s/zcoolkuaile/v22/tssqApdaRQokwFjFJjvM6h2Wo4z1oXkYxd0yTHEClH7DwjDMeAhAgE_3sefnUmd6tMyz-no9BA.116.woff2 → 200 (1ms, ?B)
[2026-04-14T06:52:48.249Z] GET https://fonts.gstatic.com/s/zcoolkuaile/v22/tssqApdaRQokwFjFJjvM6h2Wo4z1oXkYxd0yTHEClH7DwjDMeAhAgE_3sefnUmd6tMyz-no9BA.117.woff2 → 200 (?ms, ?B)
[2026-04-14T06:52:48.249Z] GET https://fonts.gstatic.com/s/zcoolkuaile/v22/tssqApdaRQokwFjFJjvM6h2Wo4z1oXkYxd0yTHEClH7DwjDMeAhAgE_3sefnUmd6tMyz-no9BA.118.woff2 → 200 (1ms, ?B)
[2026-04-14T06:52:48.250Z] GET https://fonts.gstatic.com/s/zcoolkuaile/v22/tssqApdaRQokwFjFJjvM6h2Wo4z1oXkYxd0yTHEClH7DwjDMeAhAgE_3sefnUmd6tMyz-no9BA.119.woff2 → 200 (1ms, ?B)
[2026-04-14T06:52:48.251Z] GET https://fonts.gstatic.com/s/zcoolkuaile/v22/tssqApdaRQokwFjFJjvM6h2moYbyg3tS2w.woff2 → 200 (?ms, ?B)
[2026-04-14T06:52:48.621Z] GET http://localhost:8080/intranet.html → 200 (2ms, 328667B)
[2026-04-14T06:52:48.629Z] GET https://fonts.googleapis.com/css2?family=ZCOOL+KuaiLe&display=swap → 200 (?ms, 108503B)
[2026-04-14T06:52:48.629Z] GET http://localhost:8080/images/yunque-logo.png → 200 (?ms, 16633034B)
[2026-04-14T06:52:48.629Z] GET http://localhost:8080/images/map.png → 200 (?ms, 2457090B)
[2026-04-14T06:52:48.637Z] GET https://fonts.gstatic.com/s/zcoolkuaile/v22/tssqApdaRQokwFjFJjvM6h2Wo4z1oXkYxd0yTHEClH7DwjDMeAhAgE_3sefnUmd6tMyz-no9BA.43.woff2 → 200 (?ms, ?B)
[2026-04-14T06:52:48.637Z] GET https://fonts.gstatic.com/s/zcoolkuaile/v22/tssqApdaRQokwFjFJjvM6h2Wo4z1oXkYxd0yTHEClH7DwjDMeAhAgE_3sefnUmd6tMyz-no9BA.44.woff2 → 200 (?ms, ?B)
[2026-04-14T06:52:48.638Z] GET https://fonts.gstatic.com/s/zcoolkuaile/v22/tssqApdaRQokwFjFJjvM6h2Wo4z1oXkYxd0yTHEClH7DwjDMeAhAgE_3sefnUmd6tMyz-no9BA.80.woff2 → 200 (?ms, ?B)
[2026-04-14T06:52:48.638Z] GET https://fonts.gstatic.com/s/zcoolkuaile/v22/tssqApdaRQokwFjFJjvM6h2Wo4z1oXkYxd0yTHEClH7DwjDMeAhAgE_3sefnUmd6tMyz-no9BA.102.woff2 → 200 (?ms, ?B)
[2026-04-14T06:52:48.638Z] GET https://fonts.gstatic.com/s/zcoolkuaile/v22/tssqApdaRQokwFjFJjvM6h2Wo4z1oXkYxd0yTHEClH7DwjDMeAhAgE_3sefnUmd6tMyz-no9BA.103.woff2 → 200 (?ms, ?B)
[2026-04-14T06:52:48.638Z] GET https://fonts.gstatic.com/s/zcoolkuaile/v22/tssqApdaRQokwFjFJjvM6h2Wo4z1oXkYxd0yTHEClH7DwjDMeAhAgE_3sefnUmd6tMyz-no9BA.107.woff2 → 200 (?ms, ?B)
